OBJECTID,Year,Value,sex
3451255,2017,0,1
3451256,2017,0,0
3451256,2017,2,1
3451257,2017,1,0
3451257,2017,0,1
3451258,2017,0,0
3451258,2017,1,1
3451259,2017,1,0
3451259,2017,2,1
3451260,2017,0,0
3451260,2017,2,1
3451261,2017,1,0
3451261,2017,0,1
3451262,2017,0,0
3451262,2017,3,1
3451263,2017,0,0
3451263,2017,2,1
3451264,2017,1,0
3451264,2017,0,1
3451265,2017,2,0
3451265,2017,0,1
3451266,2017,0,0
3451266,2017,2,1
3451267,2017,2,0
3451267,2017,1,1
3451268,2017,0,0
3451268,2017,2,1
3451269,2017,2,0
3451269,2017,2,1
3451270,2017,2,0
3451270,2017,0,1
3451272,2017,0,0
3451272,2017,1,1
3451274,2017,2,0
3451274,2017,0,1
3451275,2017,3,0
3451275,2017,1,1
3451276,2017,0,0
3451276,2017,2,1
3451277,2017,0,0
3451277,2017,1,1
3451278,2017,2,0
3451278,2017,0,1
3451279,2017,2,0
3451279,2017,0,1
3451280,2017,1,0
3451280,2017,1,1
3451281,2017,0,0
3451281,2017,1,1
3451282,2017,1,0
3451282,2017,1,1
3451283,2017,2,0
3451283,2017,1,1
3451284,2017,1,0
3451284,2017,1,1
3451285,2017,1,0
3451285,2017,1,1
3451287,2017,2,0
3451287,2017,1,1
3451288,2017,1,0
3451288,2017,1,1
3451289,2017,2,0
3451289,2017,0,1
3451290,2017,1,0
3451290,2017,1,1
3451291,2017,1,0
3451291,2017,0,1
3451292,2017,2,0
3451292,2017,1,1
3451293,2017,2,0
3451293,2017,1,1
3451295,2017,1,0
3451295,2017,1,1
3451297,2017,3,0
3451297,2017,3,1
3451298,2017,1,0
3451298,2017,1,1
3451299,2017,0,0
3451299,2017,2,1
3451300,2017,1,0
3451300,2017,4,1
3451301,2017,0,0
3451301,2017,2,1
3451302,2017,0,0
3451302,2017,1,1
3451304,2017,0,0
3451304,2017,2,1
3451305,2017,2,0
3451305,2017,0,1
3451306,2017,1,0
3451306,2017,0,1
3451307,2017,1,0
3451307,2017,0,1
3451308,2017,0,0
3451308,2017,3,1
3451309,2017,2,0
3451309,2017,0,1
3451310,2017,0,0
3451310,2017,4,1
3451311,2017,1,0
3451311,2017,0,1
3451312,2017,1,0
3451312,2017,1,1
3451313,2017,2,0
3451313,2017,1,1
3451314,2017,2,0
3451314,2017,0,1
3451315,2017,1,0
3451315,2017,1,1
3451316,2017,1,0
3451316,2017,0,1
3451317,2017,2,0
3451317,2017,0,1
3451318,2017,0,0
3451318,2017,1,1
3451319,2017,2,0
3451319,2017,2,1
3451320,2017,0,0
3451320,2017,1,1
3451321,2017,1,0
3451321,2017,0,1
3451322,2017,1,0
3451322,2017,0,1
3451324,2017,3,0
3451324,2017,2,1
3451325,2017,1,0
3451325,2017,1,1
3451326,2017,1,0
3451326,2017,1,1
3451327,2017,2,0
3451327,2017,1,1
3451328,2017,2,0
3451328,2017,1,1
3451329,2017,1,0
3451329,2017,1,1
3451332,2017,2,0
3451332,2017,0,1
3451333,2017,2,0
3451333,2017,0,1
3451334,2017,1,0
3451334,2017,1,1
3451335,2017,1,0
3451335,2017,2,1
3451336,2017,2,0
3451336,2017,0,1
3451337,2017,1,0
3451337,2017,0,1
3451338,2017,1,0
3451338,2017,2,1
3451339,2017,1,0
3451339,2017,0,1
3451340,2017,1,0
3451340,2017,1,1
3451341,2017,2,0
3451341,2017,0,1
3451342,2017,3,0
3451342,2017,1,1
3451343,2017,2,0
